Site,Phase,Taxon,Family,Genus,domestic_wild,Proportion_per_Phase,Ubquity
Ali Kosh,AK_AK,Hordeum distichum/vulgare grain (naked),Poaceae,Hordeum,D,1,0
Ali Kosh,AK_AK,Hordeum spontaneum/sativum grains,Poaceae,Hordeum,W,4,0
Ali Kosh,AK_AK,Fabaceae indeterminate small,Fabaceae,_,W,19,0
Ali Kosh,AK_AK,Lens sp.,Fabaceae,Lens,D,0,0
Ali Kosh,AK_AK,Linum bienne Miller,Linaceae,Linum,W,0,0
Ali Kosh,AK_AK,Lithospermum L. sp.,Boraginaceae,Lithospermum,W,0,0
Ali Kosh,AK_AK,Lolium rigidum Gaudin,Poaceae,Lolium,W,5,0
Ali Kosh,AK_AK,Malva sp.,Malvaceae,Malva,W,0,0
Ali Kosh,AK_AK,Phalaris paradoxa L.,Poaceae,Phalaris,W,3,0
Ali Kosh,AK_AK,Pistacia atlantica Desf.,Anacardiaceae,Pistacia,D,0,0
Ali Kosh,AK_AK,Plantago sp.,Plantaginaceae,Plantago,W,0,0
Ali Kosh,AK_AK,Prosopis sp.,Fabaceae,Prosopis,W,20,0
Ali Kosh,AK_AK,Suaeda sp.,Chenopodiaceae,Suaeda,W,0,0
Ali Kosh,AK_AK,Triticum monococcum/dicoccum spikelet forks,Poaceae,Triticum,D,0,0
Ali Kosh,AK_AK,Triticum boeoticum grains (1/2g),Poaceae,Triticum,W,0,0
Ali Kosh,AK_AK,Triticum dicoccum grains,Poaceae,Triticum,D,15,0
Ali Kosh,AK_AK,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,0,0
Ali Kosh,AK_AK,Vicia/Lathyrus,Fabaceae,Vicia/Lathyrus,W,0,0
Ali Kosh,AK_AK,Viola sp.,Violaceae,Viola,W,0,0
Ali Kosh,AK_BM,Aegilops crassa,Poaceae,Aegilops,W,0,0
Ali Kosh,AK_BM,Avena sp.,Poaceae,Avena,W,0,0
Ali Kosh,AK_BM,Capparis spinosa L.,Capparaceae,Capparis,W,0,0
Ali Kosh,AK_BM,Cereal indeterminate grains,Poaceae,_,D,2,0
Ali Kosh,AK_BM,Echium L. sp.,Boraginaceae,Echium,W,0,0
Ali Kosh,AK_BM,Fumaria sp.,Papaveraceae,Fumaria,W,0,0
Ali Kosh,AK_BM,Galium sp.,Rubiaceae,Galium,W,0,0
Ali Kosh,AK_BM,Heliotropium persicum,Boraginaceae,Heliotropium,W,0,0
Ali Kosh,AK_BM,Hordeum distichum/vulgare grain (naked),Poaceae,Hordeum,D,0,0
Ali Kosh,AK_BM,Hordeum spontaneum Koch,Poaceae,Hordeum,W,0,0
Ali Kosh,AK_BM,Fabaceae indeterminate small,Fabaceae,_,W,94,0
Ali Kosh,AK_BM,Linum bienne Miller,Linaceae,Linum,W,0,0
Ali Kosh,AK_BM,Lithospermum L. sp.,Boraginaceae,Lithospermum,W,1,0
Ali Kosh,AK_BM,Lolium rigidum Gaudin,Poaceae,Lolium,W,0,0
Ali Kosh,AK_BM,Malva sp.,Malvaceae,Malva,W,0,0
